file,heart_rate,sd,std_err,confidence,start,end,,,,,,,,
input_5_F2_Trial13_22C_20240130_072357.txt,50.1607717,0.377007447,0.072555117,Good,428,460,,,,,,,,
input_5_F2_Trial13_22C_20240130_073357.txt,47.69752787,0.415310088,0.064083738,Good,252,304,,,,,,,,
input_5_F2_Trial13_22C_20240130_074357.txt,49.55752212,0.420116957,0.064067235,Unsure,310,362,,,,,,,,
input_5_F2_Trial13_22C_20240130_075357.txt,56.60933661,0.340046132,0.048578019,Unsure,204,256,,,,,,,,
input_5_F2_Trial13_22C_20240130_080357.txt,48.29899377,0.478038679,0.072900215,Unsure,12,66,,,,,,,,
input_5_F2_Trial13_22C_20240130_081357.txt,55.99481529,0.296476497,0.048740436,Unsure,168,208,,,,,,,,
input_5_F2_Trial13_22C_20240130_082357.txt,61.31386861,0.291759107,0.038644438,Unsure,232,288,,,,,,,,
input_5_F2_Trial13_22C_20240130_083357.txt,55.47850208,0.381418205,0.053409232,Unsure,232,288,,,,,,,,
input_5_F2_Trial13_22C_20240130_084358.txt,71.25506073,0.186885356,0.02283168,Unsure,136,194,,,,,,,,
input_5_F2_Trial13_22C_20240130_085358.txt,59.89044431,0.336962083,0.051994378,Unsure,214,258,,,,,,,,
input_5_F2_Trial13_22C_20240130_090358.txt,40.4494382,0.604215818,0.095534909,Unsure,232,292,,,,,,,,
input_5_F2_Trial13_22C_20240130_091358.txt,30.62200957,0.846595411,0.147373345,Unsure,278,344,,,,,,,,
input_5_F2_Trial13_22C_20240130_092358.txt,31.68932039,0.623082173,0.10532011,Unsure,278,344,,,,,,,,
input_5_F2_Trial13_22C_20240130_093358.txt,7.795371498,12.77021813,4.256739375,Unsure,118,206,,,,,,,,
input_5_F2_Trial13_22C_20240130_094358.txt,5.806919913,7.003749492,2.111709926,Unsure,178,286,,,,,,,,
input_5_F2_Trial13_22C_20240130_095358.txt,2.101576182,3.61219001,1.615420482,Unsure,332,478,,,,,,,,
input_5_F2_Trial13_22C_20240130_100358.txt,48.8214401,0.365751721,0.045718965,Flatline,480,558,,,,,,,,
input_5_F2_Trial13_22C_20240130_101358.txt,49.08737864,0.386118664,0.017716339,Discard,0,582.075,,,,,,,,
input_5_F2_Trial13_22C_20240130_102359.txt,50.05829771,0.349754454,0.01589793,Discard,0,582.075,,,,,,,,
input_5_F2_Trial13_22C_20240130_103359.txt,47.14038128,0.411398581,0.049526569,Discard,0,88.975,,,,,,,,
